house_title,price,more_details_link,location
4 Bed Townhouse with Staff Quarters in Langata,"KSh 22,500,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-3790428,Langata
5 Bed House with En Suite at Old Runda,"KSh 125,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790427,"Old runda, Runda, Westlands"
5 Bed Townhouse with En Suite at Olkeri Area,"KSh 52,000,000",https://www.buyrentkenya.com/listings/furnished-5-bedroom-townhouse-for-sale-ngong-3790418,"Olkeri area, Ngong"
3 Bed House with En Suite at Mugutha Area,"KSh 9,500,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3790419,"Mugutha area, Ruiru"
3 Bed House with En Suite at Acacia Area,"KSh 6,800,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3790421,"Acacia area, Kitengela"
3 Bed House with En Suite at Mugutha,"KSh 11,500,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3789045,"Mugutha, Ruiru"
3 Bed House with En Suite at Acacia,"KSh 7,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3790024,"Acacia, Kitengela"
4 Bed House with En Suite in Kitisuru,"KSh 125,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitisuru-3790416,"Kitisuru, Westlands"
6 Bed House with Swimming Pool in Ruiru,"KSh 65,000,000",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-ruiru-3790414,Ruiru
7 Bed House with En Suite in Kitisuru,"KSh 400,000,000",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-kitisuru-3790408,"Kitisuru, Westlands"
4 Bed Townhouse with Staff Quarters at Muthangari Drive,"KSh 75,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790410,"34, Muthangari drive, Lavington"
5 Bed House with En Suite in Karen,"KSh 160,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3790397,Karen
5 Bed Townhouse with En Suite at Kaputei Garden,"KSh 80,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790401,"45, Kaputei garden, Lavington"
5 Bed House with En Suite in Runda,"KSh 120,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790393,"Runda, Westlands"
5 Bed House with En Suite in Runda,"KSh 90,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790390,"Runda, Westlands"
5 Bed Townhouse with En Suite at Kitisuru,"KSh 140,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3790387,"Kitisuru, Westlands"
4 Bed House with En Suite in Runda,"KSh 115,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3790384,"Runda, Westlands"
4 Bed Villa with En Suite at South B,"KSh 20,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-south-b-3790383,South B
3 Bed House with Garden in Kitengela,"KSh 8,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3697358,Kitengela
4 Bed Townhouse with En Suite in Westlands Area,"KSh 55,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3790373,"Westlands Area, Westlands"
5 Bed Townhouse with En Suite in Lavington,"KSh 85,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790372,Lavington
5 Bed House with En Suite at Karen Range,"KSh 150,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3781873,"Karen Range, Karen"
3 Bed House with En Suite in Ruiru,"KSh 10,500,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3757089,Ruiru
3 Bed House with En Suite in Ruiru,"KSh 10,500,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3752391,Ruiru
5 Bed Townhouse with En Suite in Lavington,"KSh 69,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790371,Lavington
